Unnamed: 0,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
0,1481,6,2,6,0,2,3,10,1577,1656,4,7,11,0,4,1,2,7,0,3
1,1614,6,2,6,0,2,3,10,1681,1766,4,7,11,0,4,1,2,7,0,2
2,1362,6,2,6,0,2,3,10,1662,1721,4,7,11,0,4,1,2,7,0,3
3,1372,2,3,1,0,2,3,10,1463,1545,4,7,11,0,4,1,5,7,0,3
4,1419,6,3,6,0,2,3,10,1537,1667,4,7,11,0,4,1,5,7,0,3
5,1489,6,2,6,0,2,3,10,1666,1826,4,7,11,0,4,1,5,7,0,2
6,1440,2,3,6,0,2,3,10,1653,1636,4,7,11,0,4,1,2,7,0,3
7,1441,6,3,1,0,2,3,10,1585,1691,4,7,11,0,4,1,5,7,0,2
8,1240,2,2,6,0,2,3,10,1609,1816,4,7,11,0,4,1,5,7,0,0
9,1310,2,2,1,0,2,3,10,1490,1635,4,7,11,0,4,1,5,7,0,3
10,1372,2,3,1,0,2,3,10,1668,1749,4,7,11,0,4,1,5,7,0,0
11,1295,6,3,6,0,2,3,10,1677,1661,4,7,11,0,4,1,5,7,0,2
12,1690,6,3,6,0,2,3,10,1691,1774,4,7,11,0,4,1,2,7,0,2
13,1610,6,3,6,0,2,3,10,1763,1758,4,7,11,0,4,1,5,7,0,2
14,1492,6,3,1,0,2,3,10,1700,1785,4,7,11,0,4,1,2,7,0,0
15,1508,2,3,1,0,2,3,10,1707,1734,4,7,11,0,4,1,5,7,0,0
16,1474,6,2,1,0,2,3,10,1624,1714,4,7,11,0,4,1,5,7,0,0
17,1693,6,3,6,0,2,3,10,1728,1801,4,7,11,0,4,1,5,7,0,0
18,1570,6,2,6,0,2,3,10,1808,1837,4,7,11,0,4,1,5,7,0,3
19,1646,6,3,1,0,2,3,10,1711,1728,4,7,11,0,4,1,5,7,0,2
20,1255,2,2,1,0,2,3,10,1612,1666,4,7,11,0,4,1,2,7,0,3
21,1261,6,2,1,0,2,3,10,1572,1685,4,7,11,0,4,1,2,7,0,2
22,1676,6,3,6,0,2,3,10,1645,1739,4,7,11,0,4,1,2,7,0,3
23,1394,6,2,1,0,2,3,10,1580,1695,4,7,11,0,4,1,5,7,0,3
24,1510,2,2,6,0,2,3,10,1610,1646,4,7,11,0,4,1,5,7,0,2
25,1275,6,2,6,0,2,3,10,1573,1637,4,7,11,0,4,1,5,7,0,3
26,1345,2,3,1,0,2,3,10,1663,1724,4,7,11,0,4,1,2,7,0,2
27,1592,2,2,6,0,2,3,10,1716,1746,4,7,11,0,4,1,5,7,0,2
28,1285,6,3,1,0,2,3,10,1642,1699,4,7,11,0,4,1,5,7,0,0
29,1549,2,2,6,0,2,3,10,1526,1612,4,7,11,0,4,1,2,7,0,3
30,1612,6,2,6,0,2,3,10,1707,1759,4,7,11,0,4,1,2,7,0,0
31,1365,2,2,6,0,2,3,10,1576,1623,4,7,11,0,4,1,5,7,0,2
32,1336,2,3,6,0,2,3,10,1604,1658,4,7,11,0,4,1,2,7,0,0
33,1422,2,3,6,0,2,3,10,1602,1624,4,7,11,0,4,1,5,7,0,0
34,1378,2,3,1,0,2,3,10,1604,1670,4,7,11,0,4,1,5,7,0,2
35,1433,2,2,1,0,2,3,10,1626,1660,4,7,11,0,4,1,5,7,0,2
36,1463,6,2,1,0,2,3,10,1591,1727,4,7,11,0,4,1,2,7,0,3
37,1554,6,2,1,0,2,3,10,1578,1669,4,7,11,0,4,1,2,7,0,2
38,1431,2,2,6,0,2,3,10,1695,1701,4,7,11,0,4,1,5,7,0,0
39,1444,6,2,1,0,2,3,10,1660,1754,4,7,11,0,4,1,2,7,0,3
40,1260,2,2,1,0,2,3,10,1614,1664,4,7,11,0,4,1,5,7,0,3
41,1258,2,3,1,0,2,3,10,1587,1654,4,7,11,0,4,1,5,7,0,3
42,1362,2,2,6,0,2,3,10,1580,1723,4,7,11,0,4,1,5,7,0,3
43,1464,2,2,6,0,2,3,10,1627,1762,4,7,11,0,4,1,2,7,0,0
44,1177,2,3,6,0,2,3,10,1700,1709,4,7,11,0,4,1,2,7,0,3
45,1467,6,2,1,0,2,3,10,1585,1667,4,7,11,0,4,1,2,7,0,0
46,1755,2,2,1,0,2,3,10,1761,1926,4,7,11,0,4,1,2,7,0,3
47,1182,2,2,6,0,2,3,10,1500,1664,4,7,11,0,4,1,2,7,0,3
48,1557,2,2,6,0,2,3,10,1799,1884,4,7,11,0,4,1,2,7,0,2
49,1605,6,2,6,0,2,3,10,1718,1776,4,7,11,0,4,1,2,7,0,3
50,1451,2,3,6,0,2,3,10,1707,1775,4,7,11,0,4,1,5,7,0,3
51,1544,2,3,1,0,2,3,10,1616,1701,4,7,11,0,4,1,2,7,0,3
52,1502,6,2,1,0,2,3,10,1791,1761,4,7,11,0,4,1,5,7,0,2
53,1517,2,3,6,0,2,3,10,1654,1629,4,7,11,0,4,1,2,7,0,0
54,1435,6,2,6,0,2,3,10,1676,1689,4,7,11,0,4,1,2,7,0,3
55,1554,6,3,6,0,2,3,10,1649,1743,4,7,11,0,4,1,2,7,0,3
56,1462,2,3,6,0,2,3,10,1579,1698,4,7,11,0,4,1,2,7,0,2
57,1267,6,3,1,0,2,3,10,1678,1736,4,7,11,0,4,1,5,7,0,0
58,1337,2,3,6,0,2,3,10,1568,1661,4,7,11,0,4,1,5,7,0,2
59,1676,6,3,1,0,2,3,10,1731,1806,4,7,11,0,4,1,2,7,0,2
60,1212,6,2,6,0,2,3,10,1546,1517,4,7,11,0,4,1,5,7,0,0
61,1440,6,3,6,0,2,3,10,1618,1593,4,7,11,0,4,1,2,7,0,0
62,1210,6,2,1,0,2,3,10,1579,1686,4,7,11,0,4,1,2,7,0,2
63,1308,6,2,1,0,2,3,10,1549,1638,4,7,11,0,4,1,2,7,0,0
64,1637,6,3,1,0,2,3,10,1612,1674,4,7,11,0,4,1,5,7,0,3
65,1527,6,3,6,0,2,3,10,1640,1706,4,7,11,0,4,1,5,7,0,2
66,1101,6,3,6,0,2,3,10,1638,1786,4,7,11,0,4,1,2,7,0,3
67,1461,2,2,6,0,2,3,10,1463,1557,4,7,11,0,4,1,5,7,0,3
68,1569,6,3,1,0,2,3,10,1706,1714,4,7,11,0,4,1,5,7,0,0
69,1333,2,3,6,0,2,3,10,1600,1707,4,7,11,0,4,1,2,7,0,3
70,1630,2,3,1,0,2,3,10,1756,1870,4,7,11,0,4,1,2,7,0,2
71,1685,2,2,6,0,2,3,10,1649,1730,4,7,11,0,4,1,2,7,0,2
72,1814,6,3,1,0,2,3,10,1740,1850,4,7,11,0,4,1,5,7,0,2
73,1366,2,3,1,0,2,3,10,1569,1570,4,7,11,0,4,1,2,7,0,2
74,1579,2,2,6,0,2,3,10,1614,1707,4,7,11,0,4,1,5,7,0,2
75,1314,6,2,6,0,2,3,10,1738,1834,4,7,11,0,4,1,5,7,0,3
76,1683,2,2,6,0,2,3,10,1621,1782,4,7,11,0,4,1,2,7,0,2
77,1168,2,2,1,0,2,3,10,1550,1609,4,7,11,0,4,1,5,7,0,0
78,1184,6,3,1,0,2,3,10,1529,1512,4,7,11,0,4,1,5,7,0,0
79,1429,6,3,6,0,2,3,10,1563,1693,4,7,11,0,4,1,5,7,0,3
80,1468,2,3,1,0,2,3,10,1663,1671,4,7,11,0,4,1,5,7,0,2
81,1321,2,2,6,0,2,3,10,1506,1612,4,7,11,0,4,1,2,7,0,2
82,1285,6,2,1,0,2,3,10,1657,1666,4,7,11,0,4,1,5,7,0,3
83,1371,2,2,6,0,2,3,10,1414,1566,4,7,11,0,4,1,2,7,0,3
84,1620,6,3,6,0,2,3,10,1749,1794,4,7,11,0,4,1,5,7,0,0
85,1509,2,2,1,0,2,3,10,1585,1731,4,7,11,0,4,1,5,7,0,0
86,1383,2,2,1,0,2,3,10,1637,1705,4,7,11,0,4,1,5,7,0,0
87,1645,6,2,1,0,2,3,10,1710,1828,4,7,11,0,4,1,2,7,0,3
88,1509,6,3,1,0,2,3,10,1558,1644,4,7,11,0,4,1,5,7,0,3
89,1463,6,3,6,0,2,3,10,1633,1629,4,7,11,0,4,1,5,7,0,2
90,1157,2,2,6,0,2,3,10,1501,1608,4,7,11,0,4,1,5,7,0,0
91,1324,2,2,1,0,2,3,10,1542,1531,4,7,11,0,4,1,5,7,0,2
92,1491,2,2,6,0,2,3,10,1635,1544,4,7,11,0,4,1,5,7,0,0
93,1477,2,2,6,0,2,3,10,1569,1693,4,7,11,0,4,1,5,7,0,2
94,1503,2,3,1,0,2,3,10,1627,1611,4,7,11,0,4,1,5,7,0,0
95,1171,6,3,1,0,2,3,10,1628,1698,4,7,11,0,4,1,2,7,0,2
96,1558,2,3,6,0,2,3,10,1621,1666,4,7,11,0,4,1,5,7,0,2
97,1585,2,3,1,0,2,3,10,1597,1652,4,7,11,0,4,1,2,7,0,2
98,1490,2,2,6,0,2,3,10,1671,1768,4,7,11,0,4,1,2,7,0,2
99,1072,6,3,6,0,2,3,10,1528,1559,4,7,11,0,4,1,2,7,0,0
100,1329,6,2,1,0,2,3,10,1553,1526,4,7,11,0,4,1,2,7,0,2
101,1417,2,3,1,0,2,3,10,1493,1649,4,7,11,0,4,1,5,7,0,0
102,1269,2,3,6,0,2,3,10,1581,1752,4,7,11,0,4,1,5,7,0,3
103,1507,6,2,6,0,2,3,10,1687,1684,4,7,11,0,4,1,5,7,0,3
104,1661,6,3,6,0,2,3,10,1661,1826,4,7,11,0,4,1,2,7,0,0
105,1662,6,2,6,0,2,3,10,1789,1836,4,7,11,0,4,1,5,7,0,2
106,1486,6,2,6,0,2,3,10,1504,1651,4,7,11,0,4,1,5,7,0,3
107,1565,2,3,1,0,2,3,10,1673,1735,4,7,11,0,4,1,5,7,0,2
108,1451,6,2,6,0,2,3,10,1674,1698,4,7,11,0,4,1,2,7,0,0
109,1566,6,2,1,0,2,3,10,1680,1640,4,7,11,0,4,1,5,7,0,2
110,1374,2,2,6,0,2,3,10,1665,1777,4,7,11,0,4,1,5,7,0,3
111,1521,6,2,6,0,2,3,10,1793,1899,4,7,11,0,4,1,5,7,0,3
112,1090,6,3,1,0,2,3,10,1578,1486,4,7,11,0,4,1,5,7,0,0
113,1407,6,2,6,0,2,3,10,1586,1704,4,7,11,0,4,1,5,7,0,2
114,1396,2,3,6,0,2,3,10,1592,1643,4,7,11,0,4,1,2,7,0,0
115,1584,2,3,1,0,2,3,10,1706,1613,4,7,11,0,4,1,5,7,0,3
116,1291,6,2,6,0,2,3,10,1608,1655,4,7,11,0,4,1,5,7,0,2
117,1384,6,3,6,0,2,3,10,1669,1747,4,7,11,0,4,1,2,7,0,2
118,1184,6,2,6,0,2,3,10,1566,1573,4,7,11,0,4,1,5,7,0,2
119,1321,2,3,6,0,2,3,10,1655,1676,4,7,11,0,4,1,2,7,0,3
120,1406,2,3,1,0,2,3,10,1553,1545,4,7,11,0,4,1,5,7,0,2
121,1410,2,3,1,0,2,3,10,1576,1737,4,7,11,0,4,1,5,7,0,3
122,1452,2,2,1,0,2,3,10,1725,1698,4,7,11,0,4,1,2,7,0,2
123,1261,6,3,6,0,2,3,10,1458,1566,4,7,11,0,4,1,2,7,0,3
124,1240,6,2,6,0,2,3,10,1617,1611,4,7,11,0,4,1,2,7,0,2
125,1355,2,3,1,0,2,3,10,1541,1551,4,7,11,0,4,1,5,7,0,3
126,1348,2,3,1,0,2,3,10,1549,1633,4,7,11,0,4,1,5,7,0,3
127,1742,2,2,6,0,2,3,10,1645,1762,4,7,11,0,4,1,5,7,0,3
128,1398,2,2,1,0,2,3,10,1623,1771,4,7,11,0,4,1,2,7,0,2
129,1298,2,2,1,0,2,3,10,1499,1572,4,7,11,0,4,1,5,7,0,3
130,1259,2,3,6,0,2,3,10,1681,1696,4,7,11,0,4,1,2,7,0,0
131,1663,6,2,1,0,2,3,10,1769,1841,4,7,11,0,4,1,2,7,0,3
132,1462,2,3,1,0,2,3,10,1713,1835,4,7,11,0,4,1,2,7,0,3
133,1458,2,3,1,0,2,3,10,1756,1783,4,7,11,0,4,1,5,7,0,3
134,1591,2,3,1,0,2,3,10,1678,1816,4,7,11,0,4,1,5,7,0,0
135,1057,2,2,6,0,2,3,10,1484,1549,4,7,11,0,4,1,2,7,0,2
136,1712,2,2,1,0,2,3,10,1715,1738,4,7,11,0,4,1,2,7,0,2
137,1705,2,3,6,0,2,3,10,1701,1723,4,7,11,0,4,1,2,7,0,3
138,1630,6,3,6,0,2,3,10,1683,1943,4,7,11,0,4,1,5,7,0,0
139,1575,2,3,6,0,2,3,10,1611,1676,4,7,11,0,4,1,5,7,0,0
140,1449,6,2,1,0,2,3,10,1632,1773,4,7,11,0,4,1,2,7,0,0
141,1429,2,3,6,0,2,3,10,1722,1797,4,7,11,0,4,1,2,7,0,3
142,1551,6,3,6,0,2,3,10,1526,1636,4,7,11,0,4,1,2,7,0,2
143,1311,6,2,1,0,2,3,10,1612,1743,4,7,11,0,4,1,2,7,0,2
144,1468,6,3,1,0,2,3,10,1751,1780,4,7,11,0,4,1,5,7,0,2
145,1496,2,2,6,0,2,3,10,1714,1771,4,7,11,0,4,1,2,7,0,2
146,1304,6,2,6,0,2,3,10,1642,1691,4,7,11,0,4,1,2,7,0,0
147,1525,2,3,1,0,2,3,10,1673,1770,4,7,11,0,4,1,5,7,0,0
148,1451,2,2,1,0,2,3,10,1678,1684,4,7,11,0,4,1,5,7,0,2
